,count,mean,std,min,25%,50%,75%,max,CV (%)
Evaporator Temperature,20000.0,-1.50000012113605,2.020776199330891,-4.99984,-3.2498575,-1.49988,0.25006975,1.99982,-134.72
Compressor Flow,20000.0,549.99998875,28.86822988185367,500.004,525.001,550.0015000000001,574.9975,599.998,5.25
Chilled Water,20000.0,33.11620366,2.8384575683774065,26.7221,31.030549999999998,33.005399999999995,35.12285,40.4564,8.57
Condenser Cooling Water,20000.0,168.3088535,12.644992517974327,139.284,159.16725,167.827,177.20725,200.943,7.51
COP,20000.0,3.825263409,0.24692948496576098,3.4214,3.6091125,3.81302,4.0352625,4.27838,6.46
