DOS Scenario,CW_min,TW_max,COP_min,OI (%),n_viable
High-load (CW-limited),34.0,201.0,3.3,35.0,7488
Water-limited (TW-limited),23.8,150.0,3.3,1.9,1563
Efficiency (COP-limited),23.8,201.0,3.95,38.8,6867
Balanced,30.0,162.0,3.7,7.5,1753
