,Evaporator Temperature,Compressor Flow,Chilled Water,Condenser Cooling Water,COP
Evaporator Temperature,1.0,-0.0016238898256769288,0.7892155261158271,0.7143452239402627,0.9990075300069889
Compressor Flow,-0.0016238898256769288,1.0,0.611125056056464,0.6974942458637879,-0.0015813470333177744
Chilled Water,0.7892155261158271,0.611125056056464,1.0,0.993452597122496,0.7893142692107372
Condenser Cooling Water,0.7143452239402627,0.6974942458637879,0.993452597122496,1.0,0.714258151294608
COP,0.9990075300069889,-0.0015813470333177744,0.7893142692107372,0.714258151294608,1.0
