,count,mean,std,min,25%,50%,75%,max,CV (%)
Evaporator Temperature,20000.0,-1.50000012113605,2.020776199330891,-4.99984,-3.2498575,-1.49988,0.25006975,1.99982,-134.72
Compressor Flow,20000.0,549.99998875,28.86822988185367,500.004,525.001,550.0015000000001,574.9975,599.998,5.25
Chilled Water,20000.0,29.641405685,2.6030377739588824,23.8048,27.71745,29.5369,31.482975000000003,36.3694,8.78
Condenser Cooling Water,20000.0,151.8641807,11.634246581933184,125.22,143.463,151.39049999999997,160.04125,181.931,7.66
COP,20000.0,3.6814306285,0.24083600979727002,3.28754,3.4706124999999997,3.66948,3.8862525,4.12338,6.54
