,Evaporator Temperature,Compressor Flow,Chilled Water,Condenser Cooling Water,COP
Evaporator Temperature,1.0,-0.0016238898256769288,0.8003279605810806,0.7272406948421537,0.9990066609003557
Compressor Flow,-0.0016238898256769288,1.0,0.5964260526168474,0.6839796813553713,-0.001581376856661685
Chilled Water,0.8003279605810806,0.5964260526168474,1.0,0.9934804904066428,0.8004744337810868
Condenser Cooling Water,0.7272406948421537,0.6839796813553713,0.9934804904066428,1.0,0.7271902319945557
COP,0.9990066609003557,-0.001581376856661685,0.8004744337810868,0.7271902319945557,1.0
