DOS Scenario,CW_min,TW_max,COP_min,OI (%),n_viable
High-load (CW-limited),34.0,201.0,3.3,5.1,1153
Water-limited (TW-limited),23.8,150.0,3.3,10.9,8672
Efficiency (COP-limited),23.8,201.0,3.95,18.8,3610
Balanced,30.0,162.0,3.7,14.0,3247
