,Evaporator Temperature,Compressor Flow,Chilled Water,Condenser Cooling Water,COP
Evaporator Temperature,1.0,-0.0016238898256769288,0.8355683062547337,0.7827633126153137,0.9990123263139012
Compressor Flow,-0.0016238898256769288,1.0,0.5457174089056408,0.6194064225448077,-0.0015814979605457602
Chilled Water,0.8355683062547337,0.5457174089056408,1.0,0.9958752040517813,0.8358539414917573
Condenser Cooling Water,0.7827633126153137,0.6194064225448077,0.9958752040517813,1.0,0.7828375339750258
COP,0.9990123263139012,-0.0015814979605457602,0.8358539414917573,0.7828375339750258,1.0
