,count,mean,std,min,25%,50%,75%,max,CV (%)
Evaporator Temperature,20000.0,-1.50000012113605,2.020776199330891,-4.99984,-3.2498575,-1.49988,0.25006975,1.99982,-134.72
Compressor Flow,20000.0,549.99998875,28.86822988185367,500.004,525.001,550.0015000000001,574.9975,599.998,5.25
Chilled Water,20000.0,11.8650062405,1.1344336799708628,9.36485,11.007625,11.815999999999999,12.6799,14.7846,9.56
Condenser Cooling Water,20000.0,60.655740984999994,5.0534058891013025,49.2208,56.951425,60.444649999999996,64.21142499999999,73.7358,8.33
COP,20000.0,3.7178783725,0.2560076053023325,3.29921,3.4937725,3.7051600000000002,3.9356025,4.18769,6.89
