DOS Scenario,CW_min,TW_max,COP_min,OI (%),n_viable
High-load (CW-limited),13.5,78.0,3.3,8.3,1800
Water-limited (TW-limited),9.4,60.0,3.3,10.9,9295
Efficiency (COP-limited),9.4,78.0,4.0,17.0,3679
Balanced,12.0,64.0,3.7,11.3,2812
