,Evaporator Temperature,Compressor Flow,Chilled Water,Condenser Cooling Water,COP
Evaporator Temperature,1.0,-0.0016238898256769288,0.834300807837587,0.7752708462213865,0.9990045165731152
Compressor Flow,-0.0016238898256769288,1.0,0.5476532109001941,0.6287808197214236,-0.0015814003274565072
Chilled Water,0.834300807837587,0.5476532109001941,1.0,0.9949508256144375,0.834588221316998
Condenser Cooling Water,0.7752708462213865,0.6287808197214236,0.9949508256144375,1.0,0.7753455166680313
COP,0.9990045165731152,-0.0015814003274565072,0.834588221316998,0.7753455166680313,1.0
