Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
0.471177,508.647,11.8259,59.6285,3.9662
-3.35925,522.061,10.4309,54.1351,3.48114
-0.900909,588.134,12.9575,66.0034,3.78177
-1.83877,541.479,11.4953,58.9702,3.66281
-0.00489965,572.469,13.0642,66.1047,3.90074
-1.79859,591.02,12.5671,64.4486,3.6678
0.642331,545.534,12.7684,64.3002,3.99013
0.285681,569.942,13.1553,66.4225,3.9405
-0.688938,516.588,11.4766,58.3675,3.80943
-3.41531,566.957,11.3025,58.684,3.47469
-1.69456,513.821,10.9707,56.2176,3.68075
-1.06602,515.869,11.2916,57.5889,3.76042
-1.07483,585.259,12.806,65.3168,3.75929
-0.0987999,524.853,11.9336,60.4258,3.88802
-0.276417,564.388,12.7435,64.6115,3.86412
-2.11268,528.524,11.0989,57.0551,3.62909
-1.69279,507.13,10.8286,55.4887,3.68097
-2.03827,503.445,10.6036,54.4778,3.63821
0.913655,546.445,12.9256,64.9625,4.02849
-4.45224,500.046,9.56079,50.0427,3.3584
-0.0614228,573.287,13.054,66.0803,3.89308
-4.30482,533.204,10.2557,53.6181,3.37459
-3.42834,528.907,10.5384,54.7224,3.47319
-0.60675,509.648,11.3591,57.7344,3.82024
-0.816585,537.107,11.8727,60.4393,3.79274
-0.521143,593.419,13.2708,67.4079,3.83154
-2.45077,573.188,11.876,61.2069,3.58808
-1.71533,559.958,11.946,61.2247,3.67815
-2.77483,564.293,11.5415,59.6307,3.5494
1.46717,551.502,13.3287,66.7183,4.10848
-4.1846,550.93,10.6482,55.6179,3.38788
-2.45967,508.813,10.5384,54.3171,3.58701
-4.36941,534.607,10.2559,53.6461,3.36749
-1.249,578.312,12.5673,64.1831,3.73697
-1.15483,559.187,12.197,62.2478,3.74901
-3.53967,501.679,9.95131,51.7183,3.46044
0.781393,518.729,12.207,61.4103,4.00972
-4.24914,571.431,11.0157,57.5664,3.38074
-1.88645,576.642,12.2187,62.7036,3.65691
-3.17478,554.196,11.1551,57.8116,3.50248
1.64577,557.505,13.5674,67.8248,4.13479
-2.2018,506.44,10.5975,54.5146,3.61822
-3.51278,510.732,10.1418,52.6975,3.46351
-1.76312,566.376,12.06,61.8316,3.6722
0.417669,503.179,11.6743,58.8875,3.95876
-3.65236,559.245,11.0431,57.4424,3.4476
-0.120516,536.184,12.1809,61.6877,3.88509
1.56685,527.927,12.8084,64.0671,4.12313
0.864087,521.087,12.3021,61.8509,4.02144
-2.08967,589.161,12.3836,63.648,3.63191
-1.49422,588.277,12.6605,64.7786,3.70587
-0.472726,582.689,13.0557,66.2912,3.83795
-2.08734,523.18,10.9978,56.5241,3.63219
-3.07068,513.053,10.3701,53.7002,3.51461
-0.069821,504.017,11.4729,58.0804,3.89194
-0.641917,560.001,12.4641,63.3674,3.81561
-3.87432,508.464,9.95108,51.8514,3.42252
-4.92908,546.543,10.2499,53.8509,3.30678
-2.45661,545.644,11.3027,58.2548,3.58738
-3.97063,593.638,11.573,60.348,3.41171
-3.06638,553.121,11.1819,57.9022,3.51511
-1.26289,528.11,11.4701,58.5855,3.7352
0.0691269,584.178,13.3701,67.6154,3.91082
-3.53993,572.245,11.3509,58.9925,3.46041
-4.8067,542.56,10.2259,53.6728,3.31992
-2.91789,570.501,11.602,60.0088,3.53251
-4.72057,542.434,10.2592,53.8115,3.32921
-4.80421,564.727,10.6447,55.8701,3.32019
-4.42635,581.928,11.138,58.2863,3.36124
-1.08554,599.464,13.1113,66.8792,3.75791
-0.28706,527.163,11.898,60.3295,3.86269
1.05909,581.62,13.8357,69.4624,4.04928
0.587477,522.999,12.2148,61.5372,3.98243
0.303551,552.206,12.7548,64.3919,3.94297
0.775251,500.406,11.773,59.2296,4.00885
1.05251,541.525,12.8786,64.6604,4.04834
-2.16523,516.632,10.8265,55.6771,3.62267
-1.81748,543.301,11.5437,59.209,3.66545
1.57509,569.344,13.8176,69.1112,4.12434
1.2079,520.356,12.4501,62.4382,4.07072
-3.32707,520.125,10.4056,53.9907,3.48485
-2.45468,589.655,12.2153,62.9574,3.58761
1.66785,550.24,13.402,66.9874,4.13806
-3.51866,529.661,10.5152,54.6402,3.46284
-4.16008,525.306,10.163,53.0734,3.3906
1.18693,578.476,13.8294,69.3661,4.06769
-2.83767,539.121,10.999,56.8552,3.54197
-2.79734,592.096,12.0993,62.5232,3.54674
-3.64411,500.674,9.88979,51.4401,3.44854
-0.859544,582.377,12.8516,65.4437,3.78714
-1.37391,540.822,11.6947,59.7829,3.72108
-4.5278,561.569,10.7043,56.0614,3.35015
-1.90626,548.179,11.6064,59.5707,3.65446
-3.63824,564.986,11.1628,58.0588,3.44921
-1.59834,535.892,11.4857,58.8136,3.69278
-2.27772,562.007,11.7248,60.3483,3.60899
1.55724,503.016,12.1994,61.0254,4.12171
-0.550348,539.859,12.0592,61.2668,3.82768
-2.74078,579.234,11.8632,61.2769,3.55344
-1.21474,519.753,11.3101,57.7473,3.74135
-3.52047,517.382,10.2707,53.3703,3.46263
1.08385,514.254,12.245,61.465,4.05284
-2.33333,597.893,12.4459,64.087,3.60225
-4.5683,595.237,11.3275,59.3439,3.34573
0.820273,596.845,14.0666,70.745,4.01523
-0.133652,514.102,11.6732,59.1226,3.88331
-1.88129,516.583,10.9483,56.1821,3.65755
-0.827692,555.579,12.2756,62.4958,3.79129
-2.26555,574.468,11.9906,61.7106,3.61047
-4.0086,539.107,10.4939,54.7369,3.40747
-4.92042,530.858,9.95926,52.3202,3.3077
1.97046,544.494,13.4182,66.9213,4.18326
0.868944,539.278,12.7339,64.0199,4.02213
-2.09606,525.518,11.0431,56.7609,3.63112
1.50073,586.239,14.1867,70.9956,4.1134
-0.89645,548.527,12.087,61.5672,3.78235
0.258854,589.592,13.5946,68.6541,3.93681
1.28857,579.458,13.9077,69.707,4.08241
-4.59603,524.677,9.97356,52.262,3.34272
-3.7251,558.677,10.9996,57.2488,3.43935
1.12837,590.847,14.0931,70.7189,4.05924
1.07889,563.461,13.414,67.3357,4.05213
1.11418,534.142,12.7335,63.9032,4.0572
-0.136932,548.201,12.4459,63.0374,3.88287
-2.82171,592.236,12.0904,62.4888,3.54385
0.835377,521.479,12.2976,61.8413,4.01737
-2.35158,587.656,12.2239,62.9527,3.60005
-4.51212,505.734,9.64615,50.5132,3.35186
0.334933,578.824,13.386,67.563,3.9473
0.87394,524.491,12.3872,62.2743,4.02284
-1.08911,523.591,11.4502,58.4078,3.75745
-2.6413,538.203,11.0667,57.1193,3.56527
-0.381804,525.497,11.8164,59.9579,3.85004
-1.33694,567.378,12.2869,62.7927,3.72578
-4.53834,545.595,10.3954,54.448,3.349
1.43588,531.073,12.8195,64.1837,4.10389
-2.83374,560.501,11.437,59.1175,3.54243
-1.69789,515.007,10.9946,56.3413,3.68033
-0.926354,501.724,11.0427,56.2603,3.77847
-0.239484,541.944,12.2544,62.1151,3.86907
-1.41256,572.876,12.3689,63.2479,3.71619
-1.8507,550.727,11.6861,59.9544,3.66133
1.33856,572.905,13.7771,69.0273,4.08968
-2.25045,560.633,11.7089,60.2536,3.6123
-4.81779,530.71,9.99801,52.4814,3.31872
-4.06646,527.953,10.2528,53.5036,3.40101
-1.65276,535.059,11.4431,58.6198,3.68597
1.14559,597.525,14.2619,71.557,4.06172
-3.20487,559.704,11.2524,58.3293,3.49898
0.888648,576.648,13.6268,68.4988,4.02493
-3.74966,530.328,10.4312,54.3005,3.43657
-2.08663,510.989,10.7418,55.2083,3.63228
0.421205,546.097,12.6718,63.9175,3.95925
0.0464228,572.027,13.0804,66.1613,3.90772
-1.85762,522.835,11.0912,56.9053,3.66048
-1.76508,592.832,12.6224,64.7157,3.67196
0.0748815,591.796,13.5475,68.5097,3.9116
-2.20752,537.551,11.246,57.8528,3.61752
-3.61675,538.777,10.6542,55.4041,3.45165
-2.45407,538.497,11.1557,57.4964,3.58769
-0.653998,571.618,12.7167,64.6572,3.81402
1.17173,575.807,13.7575,69.013,4.0655
-1.48184,596.583,12.8456,65.7193,3.70744
0.383029,588.497,13.6353,68.7969,3.95396
-0.551212,539.503,12.0508,61.2248,3.82756
-3.08312,595.285,12.0262,62.2822,3.51315
-3.11522,573.728,11.5758,59.9645,3.50941
-1.17636,574.497,12.5203,63.908,3.74626
0.657747,523.354,12.2567,61.7159,3.99229
-2.4078,539.357,11.1942,57.6741,3.59326
1.51246,518.882,12.5624,62.8617,4.11512
-4.10452,597.276,11.5813,60.454,3.39677
-3.27377,572.366,11.4753,59.5161,3.491
1.89781,593.421,14.5829,72.7685,4.17234
1.21885,539.224,12.9071,64.7245,4.07231
0.234344,592.328,13.6446,68.9191,3.93344
-1.16734,558.087,12.167,62.1004,3.74741
-4.77319,583.21,11.0069,57.7572,3.32353
1.9145,532.771,13.1009,65.3656,4.17485
1.14399,532.343,12.7054,63.7479,4.06149
-0.352393,509.95,11.48,58.2385,3.85396
0.900028,533.448,12.6115,63.39,4.02655
-2.24129,508.998,10.6343,54.7203,3.61341
-4.56494,544.723,10.3676,54.3138,3.3461
-4.02973,553.155,10.7582,56.1246,3.40511
0.952956,524.186,12.4181,62.3936,4.0341
1.40258,541.876,13.0633,65.4206,4.09902
-2.89301,506.353,10.3077,53.3042,3.53544
0.368983,559.179,12.9489,65.3405,3.95201
-3.19494,509.161,10.2404,53.0791,3.50014
-1.41872,597.706,12.9019,65.9762,3.71541
-1.37006,526.496,11.3867,58.2065,3.72157
-3.50727,578.689,11.4938,59.72,3.46414
0.798232,521.556,12.2816,61.7778,4.01211
-3.0456,542.167,10.9696,56.7936,3.51754
-2.28214,540.055,11.2649,57.9829,3.60845
-4.76914,578.206,10.9143,57.2692,3.32397
0.637215,509.224,11.9162,60.0107,3.98941
1.894,585.033,14.3747,71.7314,4.17177
1.92655,550.979,13.555,67.625,4.17666
-4.80351,566.993,10.6877,56.0956,3.32026
-2.373,505.336,10.5026,54.0968,3.59746
0.254484,549.475,12.6674,63.9738,3.93621
-2.97432,555.581,11.2731,58.333,3.52588
-0.160133,504.575,11.445,57.9781,3.87974
0.538996,588.593,13.7208,69.1489,3.97565
0.197102,562.612,12.9412,65.3843,3.92832
