Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
-3.65045,532.556,30,32.2912,155.957,4.95599
-1.87668,590.474,30,38.0133,181.468,5.30373
-1.62535,531.833,30,34.528,164.56,5.3562
-0.328938,578.05,30,39.1879,185.213,5.64086
0.764834,562.463,30,39.5376,185.565,5.90091
-4.82277,514.536,30,29.9755,145.908,4.74587
-0.78678,575.928,30,38.4536,182.278,5.53756
0.982759,517.946,30,36.6709,171.873,5.9551
1.48281,509.916,30,36.7014,171.472,6.0826
-1.85971,573.667,30,36.9524,176.384,5.30725
-3.60158,522.176,30,31.7144,153.122,4.96507
-1.79457,592.448,30,38.2456,182.479,5.32078
-1.60918,576.835,30,37.47,178.563,5.35961
-4.44099,510.701,30,30.1432,146.35,4.81271
-0.467339,508.046,30,34.2839,162.179,5.6093
0.267978,533.252,30,36.8737,173.611,5.78038
-1.95121,506.932,30,32.5535,155.479,5.28833
1.742,508.364,30,36.9023,172.129,6.15048
1.51901,523.224,30,37.704,176.116,6.092
1.12028,521.193,30,37.0684,173.584,5.98972
1.92255,551.935,30,40.3029,187.778,6.19851
1.97661,585.122,30,42.802,199.354,6.21302
0.554947,520.959,30,36.3672,170.913,5.84949
-4.87408,514.219,30,29.9045,145.612,4.73701
-2.85448,503.745,30,31.3792,150.759,5.10733
-3.84408,586.752,30,35.3439,170.92,4.92027
-0.0312497,547.982,30,37.5184,176.984,5.70974
-4.01172,588.475,30,35.246,170.637,4.88967
0.346622,530.464,30,36.7766,173.067,5.79919
-4.52527,512.364,30,30.1544,146.487,4.79782
1.60322,519.389,30,37.5313,175.216,6.11397
-3.36858,585.086,30,35.8174,172.666,5.00875
-1.34399,528.44,30,34.6325,164.757,5.41596
1.67944,586.133,30,42.4603,198.133,6.13398
-4.09147,542.367,30,32.3963,156.924,4.87523
0.513826,579.688,30,40.412,189.972,5.83951
0.178896,562.318,30,38.7691,182.639,5.7592
-3.21487,594.545,30,36.5866,176.195,5.0379
-4.69094,593.448,30,34.7292,168.898,4.76878
1.89232,599.971,30,43.7672,203.957,6.19043
-3.45678,563.025,30,34.3639,165.756,4.99214
-2.28376,578.89,30,36.7611,175.956,5.2205
-3.08568,505.229,30,31.2266,150.254,5.06261
-0.286839,521.176,30,35.3817,167.178,5.65052
-3.91422,598.812,30,35.9844,174.099,4.90743
-4.3871,541.079,30,31.9951,155.286,4.82226
-2.3057,517.888,30,32.863,157.321,5.21607
-2.35529,575.129,30,36.4343,174.474,5.20609
-1.78334,514.02,30,33.1952,158.371,5.32312
0.247077,557.055,30,38.493,181.259,5.7754
-0.495405,571.357,30,38.5203,182.252,5.60294
1.61799,591.42,30,42.7569,199.594,6.11784
-2.80283,576.366,30,35.9657,172.736,5.11741
-2.45103,513.849,30,32.4474,155.479,5.18691
-1.41567,570.484,30,37.2984,177.522,5.40063
-2.63565,593.625,30,37.2524,178.719,5.15025
-2.60868,523.498,30,32.8815,157.722,5.15558
-0.107484,562.942,30,38.4454,181.446,5.69197
-3.69972,547.036,30,33.1137,159.982,4.94686
-2.52328,563.566,30,35.5003,170.188,5.17252
-3.72652,540.921,30,32.7138,158.078,4.94191
1.36883,550.449,30,39.4705,184.543,6.05314
-3.07474,511.388,30,31.619,152.131,5.06471
-0.679006,521.694,30,34.9578,165.592,5.56159
0.121751,555.18,30,38.2045,180.045,5.74568
-1.14403,537.284,30,35.4483,168.42,5.45909
-0.791856,509.994,30,34.0455,161.388,5.53643
1.54329,549.759,30,39.6477,185.167,6.09832
-4.75968,560.351,30,32.7152,159.177,4.75682
1.90509,583.144,30,42.5574,198.304,6.19384
0.130196,546.155,30,37.594,177.158,5.74768
1.80435,538.479,30,39.1683,182.627,6.167
-0.39087,579.514,30,39.2063,185.374,5.6267
-3.64338,511.014,30,30.9925,149.678,4.9573
1.59497,565.103,30,40.8235,190.596,6.11182
-1.67397,508.202,30,32.9401,157.042,5.34599
-1.67503,582.06,30,37.726,179.86,5.34577
-2.63238,550.272,30,34.5356,165.682,5.15089
1.38004,522.622,30,37.489,175.266,6.05602
-1.56561,546.276,30,35.5368,169.302,5.3688
-2.80064,570.411,30,35.5967,170.961,5.11783
-1.73797,545.131,30,35.2579,168.162,5.33259
-0.194382,510.292,30,34.7493,164.093,5.67182
-0.0154507,554.862,30,38.0094,179.283,5.71343
-3.37158,552.04,30,33.791,162.9,5.00818
-0.849547,515.479,30,34.3456,162.871,5.52364
-2.81089,543.778,30,33.9229,162.933,5.11583
-2.34858,542.086,30,34.3488,164.48,5.20744
-1.33101,586.694,30,38.467,182.984,5.41874
-3.16545,592.891,30,36.5459,175.942,5.04733
-4.6209,520.277,30,30.5202,148.359,4.78103
0.184126,574.721,30,39.6311,186.693,5.76044
0.950709,588.01,30,41.5876,194.956,5.94708
-4.69832,520.966,30,30.4797,148.239,4.7675
-1.83456,541.955,30,34.9391,166.747,5.31247
-4.49601,555.549,30,32.7287,158.962,4.80298
-3.78299,536.451,30,32.3812,156.529,4.93149
-2.92976,567.909,30,35.2863,169.614,5.0927
-4.98984,527.591,30,30.5606,148.923,4.71709
-4.80815,564.828,30,32.9219,160.234,4.74841
0.597878,553.838,30,38.7173,181.908,5.85995
0.593633,587.558,30,41.0689,192.962,5.85892
-2.3877,529.704,30,33.5201,160.552,5.19959
-0.511411,503.53,30,33.9294,160.548,5.59931
-2.71977,584.455,30,36.5729,175.556,5.13368
-0.659608,598.3,30,40.1169,190.007,5.56594
-2.84768,590.291,30,36.7788,176.693,5.10865
-3.5957,582.265,30,35.371,170.77,4.96617
-1.62793,554.527,30,35.9983,171.57,5.35566
-2.96177,516.599,30,32.0635,154.155,5.0865
-2.89266,548.448,30,34.1198,163.967,5.0999
1.93373,553.006,30,40.3959,188.198,6.20151
-1.30663,585.676,30,38.4316,182.786,5.42397
-1.82129,580.318,30,37.429,178.614,5.31522
-0.622613,599.095,30,40.2197,190.449,5.57424
0.351428,595.084,30,41.2631,194.174,5.80034
-2.58789,562.754,30,35.372,169.645,5.15969
-0.51314,534.178,30,35.9925,170.312,5.59892
0.325027,583.635,30,40.4339,190.304,5.79401
-1.13301,512.75,30,33.8421,160.777,5.46148
-4.96122,555.81,30,32.2268,157.012,4.722
0.607968,589.584,30,41.23,193.701,5.86241
-0.90085,587.788,30,39.0964,185.462,5.5123
-1.78143,595.172,30,38.4384,183.383,5.32352
-4.20693,512.818,30,30.5109,147.905,4.85443
-3.83911,588.251,30,35.4402,171.38,4.92118
-4.84009,507.514,30,29.5489,143.848,4.74288
0.813531,535.357,30,37.6928,176.852,5.91295
-0.897532,593.237,30,39.4633,187.198,5.51303
-1.0304,572.027,30,37.884,179.861,5.48385
-0.131389,539.303,30,36.8018,173.715,5.68642
-1.04779,586.665,30,38.8309,184.377,5.48005
0.843376,576.677,30,40.642,190.653,5.92035
-0.175937,560.913,30,38.2198,180.46,5.67609
-2.97375,531.242,30,32.9589,158.473,5.08418
1.03172,594.44,30,42.1547,197.514,5.96738
-2.97528,561.312,30,34.8227,167.436,5.08389
1.24957,587.022,30,41.9283,196.182,6.02257
-0.340418,563.116,30,38.1609,180.372,5.63823
0.990342,546.192,30,38.6804,181.283,5.957
-4.52582,511.631,30,30.1107,146.275,4.79773
-3.38126,514.753,30,31.4982,151.857,5.00635
-2.82199,570.437,30,35.5727,170.87,5.11366
-4.37494,518.254,30,30.6581,148.785,4.82442
1.98302,576.595,30,42.187,196.482,6.21474
-2.48446,551.126,30,34.7622,166.607,5.18024
-2.72706,520.576,30,32.5676,156.337,5.13225
-1.49715,586.623,30,38.2491,182.143,5.38329
-4.72496,565.084,30,33.0308,160.675,4.76286
-2.58198,502.056,30,31.5631,151.371,5.16086
0.628294,554.388,30,38.7948,182.237,5.86738
-3.57911,576.818,30,35.0599,169.249,4.96926
1.02454,561.414,30,39.8033,186.504,5.96558
-3.016,592.826,30,36.7272,176.641,5.07602
-2.39449,543.189,30,34.3656,164.609,5.19823
0.919269,568.56,30,40.1703,188.35,5.93923
-1.60176,540.513,30,35.1193,167.353,5.36117
-3.23948,522.469,30,32.1244,154.731,5.03321
0.07129,564.517,30,38.7822,182.826,5.73379
0.229703,591.466,30,40.8474,192.367,5.77126
-2.93104,588.699,30,36.5764,175.817,5.09245
-3.79856,578.234,30,34.8848,168.649,4.92863
-0.196936,537.194,30,36.5782,172.732,5.67123
1.5815,566.707,30,40.9213,191.069,6.10829
-2.6297,538.144,30,33.7775,162.042,5.15142
-4.32082,583.098,30,34.5578,167.65,4.83406
0.216243,566.442,30,39.1017,184.162,5.76806
-1.564,539.004,30,35.0656,167.056,5.36914
-3.40754,549.135,30,33.5721,161.884,5.0014
0.50698,577.441,30,40.2463,189.201,5.83785
0.475619,572.413,30,39.8545,187.397,5.83025
-0.573914,531.707,30,35.7537,169.248,5.5852
-2.15872,571.673,30,36.4558,174.353,5.24584
-3.77019,544.108,30,32.8577,158.819,4.93385
-3.9478,507.838,30,30.4826,147.513,4.9013
0.480072,541.723,30,37.7233,177.371,5.83133
-0.035842,586.087,30,40.1213,189.268,5.70867
-2.45395,583.11,30,36.8174,176.422,5.18633
-4.28829,540.576,30,32.0733,155.563,4.83986
-2.64706,539.269,30,33.8282,162.304,5.148
-0.73104,539.734,30,36.104,171.079,5.54997
0.667997,558.155,30,39.1096,183.669,5.8771
1.17636,526.593,30,37.5216,175.644,6.00393
0.581147,512.799,30,35.8286,168.354,5.85587
-3.5907,536.184,30,32.5773,157.277,4.9671
-2.20463,565.663,30,36.0169,172.305,5.23651
0.942549,507.846,30,35.9082,168.341,5.94504
0.556834,570.164,30,39.8047,187.066,5.84995
-2.25455,560.206,30,35.6095,170.412,5.2264
-4.00584,513.296,30,30.7494,148.861,4.89074
-3.096,561.322,30,34.6814,166.889,5.06063
-4.37719,545.91,30,32.2916,156.715,4.82402
1.82548,542.586,30,39.4944,184.123,6.17261
1.39651,546.549,30,39.2266,183.37,6.06027
-0.755781,545.859,30,36.4836,172.905,5.54445
-4.20959,556.464,30,33.1048,160.481,4.85395
-4.06737,581.1,30,34.7384,168.241,4.87959
0.465169,532.599,30,37.0696,174.314,5.82773
-1.40995,514.548,30,33.6477,160.141,5.40185
-0.422208,501.067,30,33.8638,160.145,5.61956
-2.89097,501.731,30,31.2153,150.007,5.10023
-0.958639,571.408,30,37.9337,180.013,5.49958
-1.30307,505.258,30,33.1585,157.704,5.42474
0.00525222,524.459,30,35.9514,169.553,5.71828
0.114338,543.455,30,37.3885,176.207,5.74393
1.10856,514.607,30,36.5859,171.338,5.98675
-2.26168,586.272,30,37.2575,178.307,5.22496
-2.47247,524.423,30,33.0913,158.586,5.18263
-0.00507863,526.682,30,36.0914,170.224,5.71586
-4.15491,519.725,30,30.9768,150.111,4.86378
-4.64455,543.372,30,31.8492,154.843,4.77689
-1.55859,572.89,30,37.2768,177.584,5.37028
-2.16047,520.54,30,33.1931,158.75,5.24548
-1.58977,585.618,30,38.0652,181.377,5.3637
-2.30743,593.343,30,37.6488,180.233,5.21573
-0.191911,560.255,30,38.1547,180.171,5.67239
-3.66639,520.056,30,31.5162,152.23,4.95303
-4.22972,598.47,30,35.5793,172.5,4.85034
-2.92377,519.072,30,32.2584,155.053,5.09386
1.99244,549.581,30,40.2229,187.323,6.21727
0.408573,538.175,30,37.3877,175.873,5.81407
-4.70539,569.656,30,33.3204,162.062,4.76626
-0.345517,592.414,30,40.1395,189.731,5.63706
-0.261118,592.957,30,40.2891,190.335,5.65643
1.7891,556.267,30,40.4419,188.584,6.16295
1.34673,564.057,30,40.417,188.994,6.04745
-0.645602,558.737,30,37.4816,177.509,5.56908
1.38249,551.745,30,39.5813,185.045,6.05665
-4.01542,580.155,30,34.7433,168.207,4.889
-2.39697,548.734,30,34.7135,166.279,5.19773
-2.87967,546.319,30,34.0023,163.389,5.10243
-4.89584,527.975,30,30.6815,149.418,4.73325
-0.733465,591.801,30,39.5836,187.57,5.54943
0.511324,552.421,30,38.508,181.024,5.8389
-4.28599,536.653,30,31.843,154.444,4.84027
-1.50549,583.93,30,38.0628,181.266,5.38153
-0.0813432,596.626,30,40.7811,192.437,5.69805
-4.2469,570.105,30,33.8731,164.247,4.84726
0.0199471,597.399,30,40.9714,193.21,5.72172
-2.7703,523.659,30,32.7127,157.079,5.12377
0.231134,540.892,30,37.3565,175.925,5.77161
-0.483533,570.286,30,38.4633,181.969,5.60563
-3.19519,514.84,30,31.7029,152.656,5.04165
-2.16474,576.46,30,36.7536,175.784,5.24461
0.26532,585.404,30,40.4764,190.577,5.77975
0.410723,579.129,30,40.2356,189.267,5.81459
1.61277,555.402,30,40.1462,187.413,6.11647
-0.248848,500.43,30,34.0161,160.687,5.65926
-4.93944,580.647,30,33.692,164.127,4.72575
0.903289,546.033,30,38.5584,180.81,5.93524
-1.64064,541.468,30,35.1355,167.472,5.35299
