Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-0.00489965,572.469,32.4297,164.504,3.85346
-1.79859,591.02,31.4586,161.65,3.63433
0.642331,545.534,31.6008,159.563,3.93754
0.285681,569.942,32.6118,165.086,3.89086
-0.688938,516.588,28.5795,145.685,3.76757
-3.41531,566.957,28.5123,148.251,3.45265
-1.69456,513.821,27.449,140.94,3.64651
-1.06602,515.869,28.1685,143.979,3.72147
-1.07483,585.259,31.9477,163.306,3.7204
-0.0987999,524.853,29.636,150.433,3.84149
-0.276417,564.388,31.6733,160.979,3.81901
-2.11268,528.524,27.8249,143.304,3.59792
-1.69279,507.13,27.0933,139.112,3.64672
-2.03827,503.445,26.5736,136.786,3.60649
0.913655,546.445,31.95,161.017,3.97363
-4.45224,500.046,24.2402,127.009,3.34324
-0.0614228,573.287,32.4126,164.484,3.84625
-4.30482,533.204,25.9833,135.993,3.35848
-3.42834,528.907,26.5865,138.251,3.45125
-0.60675,509.648,28.276,144.052,3.77773
-0.816585,537.107,29.5834,150.94,3.75186
-0.521143,593.419,33.0216,168.126,3.78836
-2.45077,573.188,29.8209,153.963,3.55934
-1.71533,559.958,29.8921,153.507,3.64407
-2.77483,564.293,29.0259,150.214,3.52295
1.46717,551.502,32.8631,164.974,4.04887
-4.1846,550.93,26.9619,140.989,3.37098
-2.45967,508.813,26.4634,136.637,3.55833
-4.36941,534.607,25.992,136.104,3.35179
-1.249,578.312,31.3778,160.595,3.6994
-1.15483,559.187,30.4397,155.688,3.71073
-3.53967,501.679,25.1188,130.726,3.43925
0.781393,518.729,30.192,152.3,3.95597
-4.24914,571.431,27.9012,145.971,3.36426
-1.88645,576.642,30.5993,157.334,3.62409
-3.17478,554.196,28.108,145.89,3.4788
1.64577,557.505,33.4244,167.581,4.07362
-2.2018,506.44,26.5792,136.977,3.58769
-3.51278,510.732,25.5964,133.185,3.44214
-1.76312,566.376,30.1843,155.061,3.63848
0.417669,503.179,28.9228,146.274,3.90804
-3.65236,559.245,27.8898,145.268,3.42717
-0.120516,536.184,30.2531,153.59,3.83873
1.56685,527.927,31.5658,158.35,4.06265
0.864087,521.087,30.4156,153.338,3.967
-2.08967,589.161,31.0422,159.847,3.60057
-1.49422,588.277,31.647,162.259,3.67015
-0.472726,582.689,32.4789,165.305,3.7944
-2.08734,523.18,27.5679,141.955,3.60083
-3.07068,513.053,26.1169,135.452,3.49021
-0.069821,504.017,28.488,144.576,3.84518
-0.641917,560.001,31.0318,158.132,3.77338
-3.87432,508.464,25.1589,131.259,3.40357
-4.92908,546.543,26.048,136.968,3.29466
-2.45661,545.644,28.3821,146.54,3.55868
-3.97063,593.638,29.2733,152.833,3.3934
-3.06638,553.121,28.1608,146.048,3.49068
-1.26289,528.11,28.6401,146.598,3.69774
0.0691269,584.178,33.1776,168.209,3.86294
-3.53993,572.245,28.6518,149.113,3.43922
-4.8067,542.56,25.9713,136.439,3.30703
-2.91789,570.501,29.1979,151.262,3.50706
-4.72057,542.434,26.0451,136.739,3.31577
-4.80421,564.727,27.0347,142.023,3.30728
-4.42635,581.928,28.2354,147.914,3.34591
-1.08554,599.464,32.7109,167.22,3.7191
-0.28706,527.163,29.5733,150.317,3.81767
1.05909,581.62,34.1768,172.063,3.99319
0.587477,522.999,30.2383,152.743,3.93031
0.303551,552.206,31.6164,160.026,3.89318
0.775251,500.406,29.1194,146.896,3.95516
1.05251,541.525,31.8136,160.172,3.9923
-2.16523,516.632,27.1488,139.876,3.59188
-1.81748,543.301,28.8996,148.52,3.63212
1.57509,569.344,34.0518,170.811,4.06379
1.2079,520.356,30.7332,154.563,4.01335
-3.32707,520.125,26.2387,136.341,3.46221
-2.45468,589.655,30.6734,158.368,3.5589
1.66785,550.24,33.0137,165.496,4.07669
-3.51866,529.661,26.5396,138.099,3.44151
-4.16008,525.306,25.7303,134.524,3.37354
1.18693,578.476,34.1413,171.729,4.0105
-2.83767,539.121,27.6699,143.262,3.51595
-2.79734,592.096,30.4319,157.516,3.52044
-3.64411,500.674,24.9761,130.084,3.42805
-0.859544,582.377,32.0291,163.469,3.7466
-1.37391,540.822,29.2163,149.667,3.68446
-4.5278,561.569,27.1495,142.333,3.33547
-1.90626,548.179,29.0688,149.486,3.62178
-3.63824,564.986,28.1902,146.817,3.42868
-1.59834,535.892,28.7244,147.386,3.65784
-2.27772,562.007,29.4171,151.686,3.57901
1.55724,503.016,30.0664,150.839,4.06132
-0.550348,539.859,30.0108,152.828,3.78473
-2.74078,579.234,29.8301,154.337,3.52674
-1.21474,519.753,28.2341,144.469,3.70352
-3.52047,517.382,25.9226,134.89,3.44131
1.08385,514.254,30.2439,152.236,3.99653
-2.33333,597.893,31.2346,161.123,3.57267
-4.5683,595.237,28.7357,150.694,3.33132
0.820273,596.845,34.7851,175.421,3.96115
-0.133652,514.102,28.994,147.211,3.83707
-1.88129,516.583,27.4172,140.967,3.62469
-0.827692,555.579,30.589,156.084,3.7505
-2.26555,574.468,30.0822,155.102,3.5804
-4.0086,539.107,26.5485,138.646,3.38941
-4.92042,530.858,25.3083,133.069,3.29553
1.97046,544.494,33.0082,165.117,4.11921
0.868944,539.278,31.4826,158.712,3.96765
-2.09606,525.518,27.6827,142.555,3.59983
1.50073,586.239,34.9732,175.525,4.0535
-0.89645,548.527,30.1288,153.811,3.74209
0.258854,589.592,33.7049,170.652,3.88739
1.28857,579.458,34.3186,172.497,4.02435
-4.59603,524.677,25.3044,132.727,3.32848
-3.7251,558.677,27.7899,144.825,3.41941
1.12837,590.847,34.8016,175.122,4.00256
1.07889,563.461,33.1322,166.78,3.99586
1.11418,534.142,31.4463,158.254,4.00064
-0.136932,548.201,30.9136,156.961,3.83665
-2.82171,592.236,30.413,157.446,3.51773
0.835377,521.479,30.4084,153.333,3.96317
-2.35158,587.656,30.6801,158.284,3.57059
-4.51212,505.734,24.4637,128.237,3.33708
0.334933,578.824,33.1763,167.884,3.89726
0.87394,524.491,30.6246,154.381,3.96832
-1.08911,523.591,28.5672,146.041,3.71867
-2.6413,538.203,27.8141,143.802,3.53787
-0.381804,525.497,29.3834,149.453,3.80577
-1.33694,567.378,30.6904,157.176,3.68887
-4.53834,545.595,26.3673,138.243,3.33439
1.43588,531.073,31.612,158.728,4.04456
-2.83374,560.501,28.7712,148.96,3.51639
-1.69789,515.007,27.5092,141.252,3.64612
-0.926354,501.724,27.5294,140.571,3.73844
-0.239484,541.944,30.4526,154.734,3.82367
-1.41256,572.876,30.9063,158.368,3.67985
-1.8507,550.727,29.2606,150.412,3.62825
1.33856,572.905,33.9886,170.778,4.03119
-2.25045,560.633,29.3732,151.43,3.58212
-4.81779,530.71,25.394,133.417,3.30591
-4.06646,527.953,25.946,135.558,3.38333
-1.65276,535.059,28.6253,146.935,3.65142
1.14559,597.525,35.2157,177.185,4.00489
-3.20487,559.704,28.3572,147.217,3.47551
0.888648,576.648,33.687,169.801,3.97028
-3.74966,530.328,26.3568,137.382,3.41679
-2.08663,510.989,26.9262,138.65,3.60092
0.421205,546.097,31.3936,158.766,3.9085
