Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-0.196871,524.933,12.7527,63.9113,4.09366
-1.78485,589.577,13.4496,68.147,3.88522
-2.52903,545.245,12.0737,61.4948,3.79298
-1.86427,564.241,12.8309,65.0484,3.87521
-1.58684,570.538,13.1183,66.3771,3.91032
-4.83423,551.35,11.1222,57.5844,3.52709
-0.168475,527.221,12.8226,64.2492,4.09754
0.649545,562.629,14.1305,70.4088,4.21177
1.36456,500.625,12.9293,64.1127,4.31563
1.32561,539.312,13.9073,68.9805,4.30988
-4.95792,551.918,11.0776,57.4045,3.51361
1.59261,575.836,15.0043,74.2879,4.34959
0.786978,533.584,13.4733,67.0716,4.23143
0.447237,566.63,14.1186,70.4464,4.18307
-2.7212,588.392,12.9291,65.9404,3.7697
1.01519,535.835,13.6514,67.8531,4.2644
-3.22596,598.333,12.8833,65.9413,3.70954
0.0937357,596.109,14.6484,73.2662,4.13364
-2.33515,510.688,11.3966,57.9675,3.8167
1.83577,518.567,13.6404,67.4246,4.38625
-0.249253,582.496,14.1219,70.7989,4.08652
-1.73545,557.188,12.7358,64.5081,3.89146
-0.590291,533.396,12.7587,64.1143,4.04047
-3.73664,593.679,12.5222,64.3256,3.65012
1.66516,531.929,13.8994,68.7839,4.36048
-3.40582,532.855,11.3905,58.3749,3.68845
-2.14463,589.717,13.2609,67.3602,3.84021
-2.23175,570.091,12.775,64.9316,3.82943
-1.08296,548.627,12.8696,64.8916,3.97533
-1.9855,527.569,11.9391,60.5784,3.86002
1.19302,514.863,13.2084,65.5725,4.29036
-4.2778,511.716,10.5592,54.4515,3.58868
-3.83927,536.247,11.2639,57.9043,3.63835
1.98825,591.218,15.6437,77.248,4.40948
-4.25066,598.068,12.3547,63.698,3.59173
-2.24488,586.083,13.1265,66.7241,3.82781
-4.41615,599.619,12.3037,63.5103,3.57322
-1.80627,547.034,12.4684,63.1851,3.88251
-0.570503,508.262,12.167,61.1327,4.04312
0.577405,593.831,14.8721,74.1402,4.2015
-0.690333,516.348,12.3022,61.8628,4.02711
-0.0194349,503.889,12.3273,61.7043,4.118
-1.61796,587.52,13.492,68.2829,3.90636
-4.18545,576.558,11.9419,61.5412,3.59906
-1.77341,560.202,12.7853,64.7762,3.88666
-1.8182,556.477,12.6776,64.2506,3.88101
-2.27156,504.598,11.2894,57.3967,3.82452
-3.55251,546.317,11.6093,59.5582,3.67138
0.778023,508.905,12.8456,63.9509,4.23015
-1.44684,584.43,13.5128,68.3067,3.92822
-4.03922,576.297,12.0075,61.8147,3.61558
-3.15104,582.835,12.5875,64.3933,3.71838
1.97418,592.091,15.6582,77.3271,4.40733
-3.80421,554.669,11.6674,59.9635,3.64237
-4.52578,506.455,10.3458,53.4459,3.56104
1.84969,573.429,15.0916,74.5912,4.38836
-3.12096,510.852,11.0463,56.4968,3.72194
1.85224,519.031,13.6613,67.5206,4.38875
-2.20342,587.276,13.1751,66.9515,3.83293
1.53295,565.432,14.6991,72.8059,4.34067
-3.8319,577.037,12.1243,62.3241,3.63919
-0.0702796,522.243,12.7507,63.8462,4.111
0.00988544,589.208,14.4312,72.2209,4.12204
-0.915265,500.089,11.8092,59.476,3.99732
-3.23219,503.707,10.8431,55.5012,3.70881
-3.32671,555.17,11.9055,60.9799,3.69771
-4.39295,542.643,11.1451,57.5203,3.57581
-1.72106,586.69,13.4178,67.9558,3.89328
-4.42529,528.073,10.8316,55.9152,3.5722
-0.632974,567,13.5396,68.0586,4.03476
-3.29812,546.518,11.7334,60.0865,3.70106
-3.31823,545.237,11.6964,59.9057,3.6987
-1.76792,559.784,12.7785,64.7394,3.88735
-0.156116,587.442,14.2942,71.6169,4.09923
1.83675,515.775,13.5674,67.0637,4.3864
-2.89609,565.351,12.3358,62.9922,3.74869
0.405351,525.612,13.0751,65.2582,4.17716
-2.51049,536.027,11.8784,60.4922,3.79524
0.938002,554.072,14.0735,69.9877,4.2532
0.202496,597.981,14.7574,73.7563,4.14875
-0.914488,596.605,14.0888,70.9566,3.99742
-1.38633,577.965,13.3955,67.6853,3.936
-1.27794,508.363,11.8332,59.7463,3.94998
0.93956,525.016,13.3363,66.3208,4.25343
0.981739,522.58,13.2963,66.1032,4.25954
-4.19965,522.257,10.811,55.7187,3.59746
-1.57009,516.65,11.8872,60.1409,3.91246
-0.989058,593.825,13.9818,70.4538,3.98762
-1.03745,568.695,13.3644,67.3655,3.98128
0.673538,551.266,13.8581,69.0404,4.21519
0.495038,578.151,14.4327,71.9901,4.18982
1.07092,560.728,14.3167,71.1332,4.27251
-1.10547,556.382,13.0398,65.7603,3.97239
-1.91383,549.84,12.4787,63.2847,3.86899
0.0393886,539.429,13.2273,66.1828,4.12612
-3.44248,506.534,10.8118,55.4238,3.68418
1.59501,530.091,13.8137,68.3917,4.34995
-0.847654,555.419,13.1509,66.2027,4.00624
0.0558902,516.291,12.6681,63.3779,4.1284
-3.90702,570.283,11.9461,61.4404,3.63061
-4.54562,522.905,10.6732,55.1451,3.55884
-0.898525,532.044,12.5721,63.3111,3.99953
-1.54515,590.389,13.5973,68.7807,3.91564
-3.7516,511.627,10.785,55.4075,3.6484
-1.78669,528.707,12.0601,61.1077,3.88498
-1.45789,546.427,12.6285,63.8418,3.9268
-4.96507,597.811,11.9952,62.1628,3.51283
0.38835,515.346,12.8112,63.9484,4.17477
-2.69705,515.674,11.3422,57.8373,3.77261
-0.945225,580.783,13.6985,69.0054,3.99338
-3.52066,564.493,12.011,61.605,3.67508
1.40827,530.215,13.7169,67.9979,4.32211
0.69125,516.895,13.0031,64.773,4.21772
1.92194,594.327,15.6855,77.4891,4.39935
1.59518,575.669,15.0015,74.2726,4.34997
-1.70095,536.238,12.2737,62.1531,3.89582
0.612262,569.032,14.2705,71.1242,4.20645
-4.06898,543.611,11.3128,58.2509,3.61221
-4.18431,515.191,10.6713,54.993,3.59919
0.979394,581.129,14.7846,73.5037,4.2592
-2.29829,525.031,11.734,59.6682,3.82123
-0.928531,531.567,12.5459,63.1923,3.99557
0.0201879,577.031,14.1386,70.752,4.12346
-4.86336,599.373,12.0766,62.5387,3.52391
-2.36918,521.053,11.6121,59.0776,3.81252
-3.43118,526.516,11.2435,57.6318,3.68549
-3.99181,570.959,11.9192,61.3393,3.62096
-0.549833,597.071,14.3046,71.8629,4.04589
1.46456,501.629,13.0058,64.4486,4.33047
0.471177,508.647,12.6858,63.2867,4.18645
-3.35925,522.061,11.1808,57.2811,3.6939
-0.900909,588.134,13.8962,69.9802,3.99921
-1.83877,541.479,12.3258,62.4767,3.87842
-0.00489965,572.469,14.013,70.1355,4.12
-1.79859,591.02,13.4751,68.283,3.88348
0.642331,545.534,13.6973,68.2536,4.21074
0.285681,569.942,14.1114,70.488,4.16037
-0.688938,516.588,12.3086,61.8944,4.0273
-3.41531,566.957,12.1149,62.0913,3.68734
-1.69456,513.821,11.7636,59.5673,3.89663
-1.06602,515.869,12.1093,61.0509,3.97754
-1.07483,585.259,13.7333,69.2428,3.97639
-0.0987999,524.853,12.8001,64.1058,4.10709
-0.276417,564.388,13.6683,68.5373,4.08282
-2.11268,528.524,11.9001,60.4342,3.84418
-1.69279,507.13,11.6113,58.795,3.89686
-2.03827,503.445,11.3691,57.7078,3.85343
0.913655,546.445,13.8666,68.9701,4.24968
-4.45224,500.046,10.2455,52.8998,3.5692
-0.0614228,573.287,14.0019,70.1067,4.11222
-4.30482,533.204,10.9905,56.6868,3.58565
-3.42834,528.907,11.2959,57.8991,3.68582
-0.60675,509.648,12.1827,61.2269,4.03827
-0.816585,537.107,12.733,64.085,4.01035
-0.521143,593.419,14.2333,71.4903,4.04974
-2.45077,573.188,12.7323,64.8138,3.80253
-1.71533,559.958,12.8093,64.8717,3.894
-2.77483,564.293,12.3729,63.1276,3.76324
1.46717,551.502,14.3003,70.862,4.33086
-4.1846,550.93,11.4115,58.8074,3.59915
-2.45967,508.813,11.2983,57.5176,3.80144
-4.36941,534.607,10.9906,56.7132,3.57843
-1.249,578.312,13.4768,68.0316,3.95373
-1.15483,559.187,13.08,65.9852,3.96596
-3.53967,501.679,10.6663,54.7152,3.67287
0.781393,518.729,13.0953,65.1925,4.23063
-4.24914,571.431,11.8051,60.8641,3.5919
-1.88645,576.642,13.1013,66.4295,3.87243
-3.17478,554.196,11.9576,61.181,3.71558
1.64577,557.505,14.5568,72.0462,4.35756
-2.2018,506.44,11.3623,57.739,3.83313
