Evaporator Temperature,Compressor Flow,Cold Water,Tower Water,COP
-1.79859,591.02,35.1664,179.229,3.77698
0.642331,545.534,35.2128,176.478,4.08785
0.285681,569.942,36.3563,182.652,4.04
-0.688938,516.588,31.9016,161.346,3.91358
-3.41531,566.957,31.9405,164.642,3.5907
-1.69456,513.821,30.6801,156.251,3.78947
-1.06602,515.869,31.4583,159.519,3.86632
-1.07483,585.259,35.6793,180.933,3.86522
-0.0987999,524.853,33.0554,166.506,3.98938
-0.276417,564.388,35.3359,178.21,3.96633
-2.11268,528.524,31.1172,158.939,3.73964
-1.69279,507.13,30.2823,154.224,3.78968
-2.03827,503.445,29.715,151.698,3.74843
0.913655,546.445,35.5894,178.036,4.12486
-4.45224,500.046,27.1918,141.199,3.47851
-0.0614228,573.287,36.1507,182.05,3.99426
-4.30482,533.204,29.1416,151.164,3.49413
-3.42834,528.907,29.7837,153.539,3.58926
-0.60675,509.648,31.5594,159.525,3.924
-0.816585,537.107,33.0277,167.189,3.89748
-0.521143,593.419,36.8519,186.168,3.9349
-2.45077,573.188,33.3641,170.819,3.70009
-1.71533,559.958,33.4116,170.187,3.78697
-2.77483,564.293,32.4885,166.714,3.66277
1.46717,551.502,36.5802,182.308,4.20199
-4.1846,550.93,30.2344,156.699,3.50695
-2.45967,508.813,29.6081,151.598,3.69905
-4.36941,534.607,29.1538,151.297,3.48727
-1.249,578.312,35.0508,177.96,3.8437
-1.15483,559.187,33.9987,172.506,3.85531
-3.53967,501.679,28.1436,145.198,3.57696
0.781393,518.729,33.6369,168.42,4.10675
-4.24914,571.431,31.2903,162.246,3.50006
-1.88645,576.642,34.2097,174.46,3.76647
-3.17478,554.196,31.4777,161.981,3.61751
1.64577,557.505,37.1962,185.155,4.22736
-2.2018,506.44,29.7275,151.936,3.72915
-3.51278,510.732,28.6777,147.925,3.57992
-1.76312,566.376,33.7403,171.919,3.78123
0.417669,503.179,32.2382,161.817,4.0576
-3.65236,559.245,31.2529,161.368,3.56457
-0.120516,536.184,33.7447,170.003,3.98655
1.56685,527.927,35.1315,174.97,4.21612
0.864087,521.087,33.8823,169.554,4.11806
-2.08967,589.161,34.7141,177.283,3.74236
-1.49422,588.277,35.3629,179.85,3.8137
-0.472726,582.689,36.244,183.036,3.94109
-2.08734,523.18,30.8288,157.438,3.74263
-3.07068,513.053,29.2439,150.376,3.62921
-0.069821,504.017,31.7737,160.018,3.99316
-0.641917,560.001,34.6368,175.123,3.91954
-3.87432,508.464,28.201,145.839,3.54037
-4.92908,546.543,29.2382,152.343,3.4287
-2.45661,545.644,31.7546,162.585,3.69941
-3.97063,593.638,32.817,169.826,3.52994
-3.06638,553.121,31.5323,162.139,3.62969
-1.26289,528.11,31.9932,162.452,3.84199
0.0691269,584.178,36.9975,186.149,4.01136
-3.53993,572.245,32.102,165.62,3.57693
-4.8067,542.56,29.1474,151.737,3.44138
-2.91789,570.501,32.6872,167.902,3.64648
-4.72057,542.434,29.2269,152.057,3.45035
-4.80421,564.727,30.3408,157.947,3.44164
-4.42635,581.928,31.6725,164.435,3.48125
-1.08554,599.464,36.5321,185.272,3.86389
-0.28706,527.163,32.9936,166.409,3.96495
1.05909,581.62,38.0626,190.221,4.14491
0.587477,522.999,33.697,168.944,4.08043
0.303551,552.206,35.2457,177.051,4.04237
0.775251,500.406,32.4422,162.445,4.10591
1.05251,541.525,35.431,177.077,4.144
-2.16523,516.632,30.3632,155.145,3.73345
-1.81748,543.301,32.3065,164.675,3.77471
1.57509,569.344,37.8979,188.738,4.21729
1.2079,520.356,34.2209,170.849,4.16558
-3.32707,520.125,29.3901,151.402,3.6005
-2.45468,589.655,34.3181,175.708,3.69963
1.66785,550.24,36.7381,182.847,4.23052
-3.51866,529.661,29.7346,153.384,3.57927
-4.16008,525.306,28.8523,149.51,3.50957
1.18693,578.476,38.0168,189.827,4.16266
-2.83767,539.121,30.9733,159.009,3.6556
-2.79734,592.096,34.0633,174.822,3.6602
-3.64411,500.674,27.9876,144.5,3.56547
-0.859544,582.377,35.7601,181.074,3.89209
-1.37391,540.822,32.6417,165.872,3.82837
-4.5278,561.569,30.4585,158.247,3.47054
-1.90626,548.179,32.4994,165.761,3.76411
-3.63824,564.986,31.589,163.087,3.56612
-1.59834,535.892,32.1015,163.381,3.80108
-2.27772,562.007,32.9049,168.264,3.72025
1.55724,503.016,33.4632,166.672,4.21476
-0.550348,539.859,33.4932,169.234,3.93118
-2.74078,579.234,33.3872,171.284,3.66667
-1.21474,519.753,31.5378,160.086,3.84792
-3.52047,517.382,29.0435,149.82,3.57907
1.08385,514.254,33.6815,168.298,4.14834
-2.33333,597.893,34.9404,178.743,3.71375
-4.5683,595.237,32.2397,167.55,3.46629
0.820273,596.845,38.7522,193.981,4.11206
-0.133652,514.102,32.3408,162.945,3.98484
-1.88129,516.583,30.6519,156.311,3.76709
-0.827692,555.579,34.1509,172.888,3.89609
-2.26555,574.468,33.6483,172.051,3.72168
-4.0086,539.107,29.7639,154.068,3.52585
-4.92042,530.858,28.4076,148.006,3.42959
1.97046,544.494,36.7175,182.373,4.27411
0.868944,539.278,35.0708,175.495,4.11872
-2.09606,525.518,30.9575,158.105,3.7416
1.50073,586.239,38.9272,193.961,4.20674
-0.89645,548.527,33.64,170.382,3.88746
0.258854,589.592,37.5763,188.816,4.03643
1.28857,579.458,38.2091,190.656,4.17686
-4.59603,524.677,28.3911,147.577,3.46337
-3.7251,558.677,31.1439,160.888,3.55661
1.12837,590.847,38.7549,193.59,4.15451
1.07889,563.461,36.8983,184.377,4.14765
1.11418,534.142,35.0191,174.945,4.15254
-0.136932,548.201,34.4821,173.738,3.98441
-2.82171,592.236,34.0432,174.749,3.65742
0.835377,521.479,33.8757,169.554,4.11413
-2.35158,587.656,34.321,175.596,3.71163
-4.51212,505.734,27.4448,142.573,3.47219
0.334933,578.824,36.9832,185.739,4.04655
0.87394,524.491,34.1148,170.706,4.11941
-1.08911,523.591,31.9046,161.807,3.86345
-2.6413,538.203,31.1267,159.576,3.67808
-0.381804,525.497,32.7858,165.468,3.95275
-1.33694,567.378,34.2869,174.188,3.8329
-4.53834,545.595,29.5814,153.701,3.46944
1.43588,531.073,35.1889,175.411,4.19757
-2.83374,560.501,32.2059,165.332,3.65605
-1.69789,515.007,30.7474,156.598,3.78907
-0.926354,501.724,30.739,155.721,3.88372
-0.239484,541.944,33.9725,171.29,3.9711
-1.41256,572.876,34.5315,175.523,3.82365
-1.8507,550.727,32.7116,166.779,3.77074
1.33856,572.905,37.8393,188.747,4.18387
-2.25045,560.633,32.8547,167.975,3.72345
-4.81779,530.71,28.4999,148.378,3.44023
-4.06646,527.953,29.0906,150.644,3.51962
-1.65276,535.059,31.9931,162.891,3.7945
1.14559,597.525,39.2152,195.866,4.1569
-3.20487,559.704,31.758,163.459,3.61414
0.888648,576.648,37.5254,187.753,4.12142
-3.74966,530.328,29.5389,152.623,3.55393
-2.08663,510.989,30.1112,153.773,3.74272
0.421205,546.097,34.992,175.636,4.05808
0.0464228,572.027,36.2007,182.168,4.00838
-1.85762,522.835,31.0476,158.303,3.76992
-1.76508,592.832,35.314,179.94,3.78099
0.0748815,591.796,37.4872,188.605,4.01212
-2.20752,537.551,31.5476,161.245,3.72848
-3.61675,538.777,30.1457,155.612,3.56848
-2.45407,538.497,31.3414,160.466,3.6997
-0.653998,571.618,35.3411,178.699,3.91801
1.17173,575.807,37.8224,188.876,4.16054
-1.48184,596.583,35.8771,182.45,3.81521
0.383029,588.497,37.6612,189.082,4.05297
-0.551212,539.503,33.4701,169.119,3.93107
-3.08312,595.285,33.9167,174.42,3.62781
-3.11522,573.728,32.6529,167.959,3.6242
-1.17636,574.497,34.9044,177.128,3.85265
0.657747,523.354,33.7984,169.371,4.08994
-2.4078,539.357,31.4405,160.922,3.70508
1.51246,518.882,34.4679,171.728,4.2084
-4.10452,597.276,32.8676,170.25,3.51553
-3.27377,572.366,32.4006,166.847,3.60644
1.89781,593.421,39.9216,198.384,4.26358
1.21885,539.224,35.4745,177.095,4.16711
0.234344,592.328,37.72,189.569,4.03318
-1.16734,558.087,33.9176,172.11,3.85377
-4.77319,583.21,31.3672,163.254,3.44486
1.9145,532.771,35.8611,178.186,4.266
1.14399,532.343,34.9355,174.492,4.15668
-0.352393,509.95,31.8469,160.698,3.95653
0.900028,533.448,34.7272,173.739,4.12298
-2.24129,508.998,29.8379,152.542,3.72452
-4.56494,544.723,29.5072,153.345,3.46664
-4.02973,553.155,30.5174,157.992,3.52357
