Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
1.40549,542.559,30,35.976,168.674,5.9359
0.207972,595.463,30,37.9017,179.09,5.64405
-0.074222,509.556,30,32.1211,152.056,5.5787
1.47675,568.275,30,37.7727,177.016,5.95405
-2.95939,524.371,30,29.9096,144.327,4.97553
0.814263,559.642,30,36.3683,171.167,5.78878
1.89881,517.554,30,34.8981,163.1,6.06344
-4.37199,564.88,30,30.6596,149.37,4.71762
-1.55643,559.581,30,33.516,160.218,5.25487
-1.84417,520.209,30,30.8483,147.748,5.19555
-2.78588,536.781,30,30.8038,148.468,5.00877
1.08777,549.821,30,36.0651,169.439,5.85608
-0.644597,587.479,30,36.3136,172.548,5.45033
-4.46257,505.045,30,27.3244,133.204,4.70181
-2.33878,548.413,30,31.9661,153.609,5.09607
-4.01062,527.469,30,28.9963,140.919,4.78153
1.83333,566.111,30,38.0875,178.081,6.04625
-2.28198,575.098,30,33.5879,161.34,5.10734
-1.39828,529.73,30,31.9024,152.345,5.28795
-0.533026,591.892,30,36.7272,174.385,5.47506
-2.30418,529.118,30,30.8786,148.348,5.10293
-2.83642,552.759,30,31.6647,152.669,4.99905
-3.15841,501.598,30,28.4121,137.284,4.93784
-3.22275,523.563,30,29.5894,143.035,4.92576
-4.159,598.598,30,32.7348,159.249,4.75512
-0.216649,505.612,30,31.7169,150.283,5.54619
1.06954,591.877,30,38.7996,182.308,5.85156
1.83759,519.323,30,34.9447,163.383,6.04737
0.240963,511.829,30,32.6151,154.077,5.65177
0.0752781,519.225,30,32.899,155.586,5.61317
-2.33841,528.394,30,30.7996,148.003,5.09614
0.720129,569,30,36.8577,173.577,5.76591
-1.36055,530.728,30,32.0043,152.793,5.29589
1.94601,523.542,30,35.3585,165.202,6.07588
-1.74616,515.77,30,30.6893,146.891,5.21563
1.33343,599.13,30,39.6298,185.891,5.91764
1.86711,595.562,30,40.1149,187.52,6.05511
-0.310944,578.427,30,36.1671,171.475,5.52483
-1.14276,517.386,30,31.4357,149.862,5.34211
0.412926,592.572,30,37.9834,179.236,5.6923
-4.84376,504.55,30,26.932,131.634,4.63621
-0.952434,524.527,30,32.0799,152.741,5.38304
-4.36976,598.89,30,32.5081,158.374,4.71801
0.653849,501.986,30,32.4432,152.853,5.7499
-2.27797,553.316,30,32.3202,155.247,5.10813
-0.252498,542.336,30,33.9787,161.038,5.53805
-4.63132,534.373,30,28.7392,140.263,4.67259
-1.82379,509.58,30,30.2394,144.812,5.19971
1.49925,555.254,30,36.9355,173.067,5.95979
1.64618,526.765,30,35.2158,164.853,5.99757
-4.11711,511.461,30,28.011,136.229,4.76255
0.894043,565.395,30,36.8424,173.308,5.80828
1.23458,537.076,30,35.4058,166.184,5.89274
-3.81871,570.805,30,31.5913,153.33,4.81603
-3.47112,579.11,30,32.4449,157.102,4.87955
0.56176,508.274,30,32.7464,154.374,5.72777
-3.67904,511.687,30,28.4589,137.996,4.8414
-2.34409,556.165,30,32.4119,155.757,5.09502
1.91897,528.805,30,35.6811,166.738,6.06875
-3.2772,591.021,30,33.3382,161.216,4.91557
1.79335,566.871,30,38.0869,178.125,6.0358
-3.50435,537.965,30,30.1045,145.803,4.87342
-3.7898,573.15,30,31.7534,154.087,4.82126
-4.15708,506.03,30,27.6745,134.63,4.75546
-0.354153,517.781,30,32.3271,153.312,5.51509
-3.67835,593.887,30,33.0314,160.167,4.84152
1.9098,503.137,30,33.9386,158.605,6.06634
0.853261,568.574,30,36.998,174.087,5.7983
-2.84541,508.283,30,29.1078,140.35,4.99732
1.33049,503.297,30,33.2875,156.144,5.91689
-4.07109,582.087,30,31.9307,155.244,4.77074
-3.64626,582.317,30,32.4245,157.19,4.84738
-4.91454,559.728,30,29.8025,145.735,4.62419
0.643494,556.356,30,35.9444,169.36,5.7474
-3.34212,535.297,30,30.1263,145.748,4.90346
-2.06787,573.484,30,33.7441,161.859,5.15017
0.0859648,595.458,30,37.7431,178.483,5.61564
0.592095,598.13,30,38.5755,181.818,5.73504
-3.89195,518.866,30,28.6428,139.089,4.80282
-3.22879,567.487,30,32.0651,155.009,4.92463
-4.03796,550.681,30,30.2432,147.006,4.77664
-3.90938,500.472,30,27.6105,134.092,4.79968
-0.0345385,556.703,30,35.141,166.309,5.58781
-3.60046,522.424,30,29.1364,141.206,4.85576
-4.08188,578.637,30,31.7294,154.276,4.76882
-4.46021,526.812,30,28.5045,138.954,4.70222
-4.29171,528.021,30,28.7404,139.943,4.7317
-3.36945,559.438,30,31.4547,152.203,4.89838
-4.61395,581.959,30,31.3177,152.829,4.67559
-1.27259,579.744,30,35.0667,167.316,5.31448
-2.74834,555.352,30,31.9113,153.767,5.016
-1.3121,561.452,30,33.9138,161.857,5.30612
-0.70481,590.412,30,36.4192,173.118,5.43706
-4.29736,535.497,30,29.1415,141.902,4.73071
-0.776399,580.074,30,35.6933,169.748,5.42135
-0.218062,518.088,30,32.498,153.985,5.54586
-2.18031,549.208,30,32.1896,154.519,5.12761
-1.33738,512.18,30,30.9106,147.549,5.30078
-2.54934,591.518,30,34.2264,164.702,5.05465
-2.08527,559.063,30,32.8757,157.712,5.14667
-4.53749,516.25,30,27.8568,135.869,4.6888
-1.85102,551.3,30,32.6842,156.549,5.19415
-0.381196,539.286,30,33.6383,159.56,5.50901
0.756044,569.546,30,36.9384,173.916,5.77462
-1.96703,511.891,30,30.2258,144.885,5.17055
-4.5485,574.46,30,30.9858,151.141,4.6869
-2.03432,529.86,30,31.2137,149.688,5.15694
-3.17081,538.697,30,30.5002,147.387,4.93551
-2.73429,598.351,30,34.399,165.739,5.01872
0.969369,556.331,30,36.3451,170.885,5.82679
-1.3448,533.444,30,32.1856,153.643,5.29921
-3.70148,513.925,30,28.5608,138.511,4.83731
1.92143,558.178,30,37.6662,176.012,6.0694
-3.30999,581.631,30,32.7708,158.508,4.90945
-3.60669,577.278,30,32.1886,156.005,4.85462
-1.72433,508.402,30,30.2738,144.881,5.22012
-4.14056,515.709,30,28.2203,137.269,4.75839
-3.39739,559.334,30,31.4181,152.055,4.89319
0.66993,542.006,30,35.049,165.113,5.75378
-2.81467,564.813,30,32.3798,156.094,5.00323
1.32305,539.881,30,35.6981,167.46,5.91502
0.657607,535.51,30,34.6143,163.078,5.7508
-3.01034,517.053,30,29.4397,142.108,4.96584
-3.65045,532.556,30,29.6493,143.74,4.84661
-1.87668,590.474,30,34.9755,167.552,5.18891
-1.62535,531.833,30,31.778,151.98,5.24057
-0.328938,578.05,30,36.1212,171.278,5.52077
0.764834,562.463,30,36.49,171.795,5.77675
-4.82277,514.536,30,27.4855,134.32,4.63978
-0.78678,575.928,30,35.4255,168.486,5.41908
0.982759,517.946,30,33.8528,159.154,5.83009
1.48281,509.916,30,33.9006,158.864,5.95559
-1.85971,573.667,30,34,162.86,5.19238
-3.60158,522.176,30,29.1214,141.134,4.85555
-1.79457,592.448,30,35.1926,168.5,5.2057
-1.60918,576.835,30,34.4863,164.914,5.24392
-4.44099,510.701,30,27.6515,134.779,4.70557
-0.467339,508.046,30,31.5959,149.956,5.4897
0.267978,533.252,30,34.0117,160.646,5.65811
-1.95121,506.932,30,29.9494,143.546,5.17375
1.742,508.364,30,34.0965,159.515,6.02241
1.51901,523.224,30,34.8282,163.172,5.96485
1.12028,521.193,30,34.2252,160.761,5.86417
1.92255,551.935,30,37.2464,174.049,6.06969
1.97661,585.122,30,39.5584,184.788,6.08397
0.554947,520.959,30,33.5558,158.196,5.72614
-4.87408,514.219,30,27.4187,134.041,4.63105
-2.85448,503.745,30,28.8387,139.061,4.99558
-3.84408,586.752,30,32.4449,157.501,4.81145
-0.0312497,547.982,30,34.5944,163.718,5.58857
-4.01172,588.475,30,32.3487,157.213,4.78133
0.346622,530.464,30,33.9252,160.155,5.67662
-4.52527,512.364,30,27.6591,134.893,4.69092
1.60322,519.389,30,34.6721,162.353,5.98648
-3.36858,585.086,30,32.8978,159.185,4.89854
-1.34399,528.44,30,31.8846,152.205,5.29938
1.67944,586.133,30,39.2291,183.601,6.00617
-4.09147,542.367,30,29.7305,144.567,4.76711
0.513826,579.688,30,37.2861,175.83,5.71631
0.178896,562.318,30,35.7563,168.985,5.63726
-3.21487,594.545,30,33.6103,162.464,4.92724
-4.69094,593.448,30,31.8491,155.504,4.66233
