Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
-2.81467,564.813,30,13.6566,65.332,5.24356
1.32305,539.881,30,15.3507,71.5277,6.20232
0.657607,535.51,30,14.8395,69.4341,6.02971
-3.01034,517.053,30,12.4048,59.4192,5.20423
-3.65045,532.556,30,12.4543,59.9065,5.07879
-1.87668,590.474,30,14.8178,70.4582,5.43888
-1.62535,531.833,30,13.4792,63.9899,5.4932
-0.328938,578.05,30,15.4151,72.5773,5.78786
0.764834,562.463,30,15.6513,73.1833,6.05699
-4.82277,514.536,30,11.4789,55.6437,4.86116
-0.78678,575.928,30,15.0859,71.2343,5.68094
0.982759,517.946,30,14.5346,67.8693,6.11305
1.48281,509.916,30,14.5883,67.9077,6.24497
-1.85971,573.667,30,14.4057,68.4912,5.44252
-3.60158,522.176,30,12.2354,58.835,5.0882
-1.79457,592.448,30,14.9156,70.8859,5.45653
-1.60918,576.835,30,14.6291,69.4416,5.49673
-4.44099,510.701,30,11.5701,55.9441,4.93039
-0.467339,508.046,30,13.4752,63.4996,5.7552
0.267978,533.252,30,14.5551,68.2702,5.93226
-1.95121,506.932,30,12.6839,60.3407,5.42294
1.742,508.364,30,14.6898,68.2701,6.31519
1.51901,523.224,30,14.9899,69.7615,6.2547
1.12028,521.193,30,14.7038,68.6,6.14887
1.92255,551.935,30,16.0599,74.5541,6.36489
1.97661,585.122,30,17.061,79.1748,6.37989
0.554947,520.959,30,14.3789,67.3224,6.00378
-4.87408,514.219,30,11.4481,55.5132,4.85197
-2.85448,503.745,30,12.1607,58.191,5.23552
-3.84408,586.752,30,13.6157,65.5763,5.0418
-0.0312497,547.982,30,14.7839,69.4747,5.85915
-4.01172,588.475,30,13.5642,65.4003,5.01011
0.346622,530.464,30,14.5233,68.0875,5.95172
-4.52527,512.364,30,11.5684,55.9672,4.91497
1.60322,519.389,30,14.9284,69.4389,6.27743
-3.36858,585.086,30,13.8378,66.4387,5.13343
-1.34399,528.44,30,13.5425,64.1742,5.55506
1.67944,586.133,30,16.8963,78.5551,6.29813
-4.09147,542.367,30,12.4614,60.1149,4.99514
0.513826,579.688,30,15.9744,74.8116,5.99344
0.178896,562.318,30,15.2953,71.7827,5.91034
-3.21487,594.545,30,14.1481,67.8601,5.16362
-4.69094,593.448,30,13.31,64.4635,4.88489
1.89232,599.971,30,17.4374,80.9639,6.35652
-3.45678,563.025,30,13.2692,63.7455,5.11623
-2.28376,578.89,30,14.295,68.1514,5.3527
-3.08568,505.229,30,12.0848,57.9148,5.18921
-0.286839,521.176,30,13.9213,65.5266,5.79786
-3.91422,598.812,30,13.8565,66.767,5.0285
-4.3871,541.079,30,12.285,59.3794,4.94029
-2.3057,517.888,30,12.7776,60.9254,5.34812
-2.35529,575.129,30,14.162,67.5481,5.33779
-1.78334,514.02,30,12.9468,61.5248,5.45895
0.247077,557.055,30,15.1924,71.2691,5.9271
-0.495405,571.357,30,15.1378,71.3471,5.74861
1.61799,591.42,30,17.0084,79.1065,6.28143
-2.80283,576.366,30,13.9425,66.6945,5.24596
-2.45103,513.849,30,12.6051,60.1595,5.31793
-1.41567,570.484,30,14.5788,69.1167,5.5392
-2.63565,593.625,30,14.4557,69.0746,5.27996
-2.60868,523.498,30,12.7617,60.9692,5.28548
-0.107484,562.942,30,15.1425,71.194,5.84076
-3.69972,547.036,30,12.7677,61.434,5.06934
-2.52328,563.566,30,13.7851,65.8221,5.30302
-3.72652,540.921,30,12.6114,60.6927,5.06421
1.36883,550.449,30,15.6788,73.0359,6.21449
-3.07474,511.388,30,12.2374,58.6422,5.19139
-0.679006,521.694,30,13.7231,64.7548,5.70582
0.121751,555.18,30,15.0676,70.7395,5.89635
-1.14403,537.284,30,13.8778,65.6791,5.59971
-0.791856,509.994,30,13.3562,63.0686,5.67977
1.54329,549.759,30,15.7649,73.357,6.26124
-4.75968,560.351,30,12.5329,60.7275,4.87249
1.90509,583.144,30,16.9566,78.7254,6.36005
0.130196,546.155,30,14.8276,69.6089,5.89841
1.80435,538.479,30,15.5973,72.4598,6.33228
-0.39087,579.514,30,15.4168,72.6138,5.77321
-3.64338,511.014,30,11.9539,57.4969,5.08015
1.59497,565.103,30,16.2372,75.5303,6.2752
