Evaporator Temperature,Compressor Flow,Condensing Temperature,Cold Water,Tower Water,COP
0.66993,542.006,30,14.3786,67.6077,5.82858
-2.81467,564.813,30,13.0913,63.0167,5.04779
1.32305,539.881,30,14.6841,68.7479,5.99628
0.657607,535.51,30,14.1996,66.7714,5.82549
-3.01034,517.053,30,11.8926,57.3239,5.00889
-3.65045,532.556,30,11.9444,57.8291,4.88484
-1.87668,590.474,30,14.1972,67.9031,5.24098
-1.62535,531.833,30,12.913,61.6556,5.29472
-0.328938,578.05,30,14.7576,69.8511,5.58621
0.764834,562.463,30,14.9756,70.3706,5.85248
-4.82277,514.536,30,11.0164,53.7757,4.66964
-0.78678,575.928,30,14.4458,68.5854,5.48043
0.982759,517.946,30,13.9057,65.2494,5.90796
1.48281,509.916,30,13.9537,65.2604,6.03849
-1.85971,573.667,30,13.8022,66.0064,5.24458
-3.60158,522.176,30,11.7342,56.7921,4.89414
-1.79457,592.448,30,14.2903,68.3103,5.25844
-1.60918,576.835,30,14.0144,66.9074,5.2982
-4.44099,510.701,30,11.1015,54.0456,4.73809
-0.467339,508.046,30,12.9013,61.1216,5.55389
0.267978,533.252,30,13.9301,65.673,5.72907
-1.95121,506.932,30,12.1532,58.1565,5.22521
1.742,508.364,30,14.0491,65.5953,6.10798
1.51901,523.224,30,14.3376,67.04,6.04812
1.12028,521.193,30,14.0666,65.9446,5.9434
1.92255,551.935,30,15.3582,71.6231,6.15716
1.97661,585.122,30,16.3151,76.059,6.17201
0.554947,520.959,30,13.7596,64.746,5.79983
-4.87408,514.219,30,10.9872,53.6524,4.66056
-2.85448,503.745,30,11.6576,56.1309,5.03984
-3.84408,586.752,30,13.0597,63.3141,4.84826
-0.0312497,547.982,30,14.1512,66.8483,5.65674
-4.01172,588.475,30,13.0115,63.1543,4.81692
0.346622,530.464,30,13.8992,65.4931,5.74833
-4.52527,512.364,30,11.1004,54.0724,4.72285
1.60322,519.389,30,14.2782,66.7255,6.07061
-3.36858,585.086,30,13.2692,64.1175,4.93887
-1.34399,528.44,30,12.9716,61.8178,5.35591
1.67944,586.133,30,16.1598,75.4811,6.09109
-4.09147,542.367,30,11.9543,58.055,4.80212
0.513826,579.688,30,15.2866,71.9511,5.78961
0.178896,562.318,30,14.6392,69.057,5.70738
-3.21487,594.545,30,13.5655,65.4798,4.96873
-4.69094,593.448,30,12.7728,62.2913,4.6931
1.89232,599.971,30,16.6757,77.7827,6.14888
-3.45678,563.025,30,12.7246,61.5236,4.92187
-2.28376,578.89,30,13.6993,65.7041,5.15574
-3.08568,505.229,30,11.5863,55.8765,4.99404
-0.286839,521.176,30,13.3272,63.0631,5.5961
-3.91422,598.812,30,13.2912,64.4681,4.83511
-4.3871,541.079,30,11.787,57.3612,4.74788
-2.3057,517.888,30,12.2452,58.7388,5.15121
-2.35529,575.129,30,13.5723,65.1268,5.14099
-1.78334,514.02,30,12.404,59.2888,5.26083
0.247077,557.055,30,14.5402,68.559,5.72397
-0.495405,571.357,30,14.4933,68.6768,5.54738
1.61799,591.42,30,16.2675,76.0146,6.07457
-2.80283,576.366,30,13.3653,64.3303,5.05016
-2.45103,513.849,30,12.0809,58.0081,5.12134
-1.41567,570.484,30,13.9648,66.583,5.34021
-2.63565,593.625,30,13.856,66.6157,5.08379
-2.60868,523.498,30,12.232,58.7973,5.08925
-0.107484,562.942,30,14.495,68.507,5.63854
-3.69972,547.036,30,12.2453,59.3064,4.87549
-2.52328,563.566,30,13.2124,63.4724,5.1066
-3.72652,540.921,30,12.0956,58.5923,4.87042
1.36883,550.449,30,14.9976,70.195,6.00833
-3.07474,511.388,30,11.7326,56.5777,4.99619
-0.679006,521.694,30,13.1401,62.341,5.50504
0.121751,555.18,30,14.4217,68.0567,5.69354
-1.14403,537.284,30,13.2914,63.2563,5.40007
-0.791856,509.994,30,12.7895,60.7236,5.47927
1.54329,549.759,30,15.0787,70.4939,6.05459
-4.75968,560.351,30,12.0275,58.6851,4.68085
1.90509,583.144,30,16.2159,75.6315,6.15237
0.130196,546.155,30,14.1919,66.9684,5.69558
1.80435,538.479,30,14.9166,69.6175,6.12489
-0.39087,579.514,30,14.7597,69.8899,5.57171
-3.64338,511.014,30,11.4644,55.5027,4.88619
1.59497,565.103,30,15.53,72.5794,6.0684
-1.67397,508.202,30,12.3159,58.8241,5.28425
-1.67503,582.06,30,14.1052,67.3709,5.28402
-2.63238,550.272,30,12.8457,61.7572,5.08446
1.38004,522.622,30,14.2455,66.67,6.01129
-1.56561,546.276,30,13.2945,63.4515,5.30762
-2.80064,570.411,30,13.2283,63.6701,5.0506
-1.73797,545.131,30,13.178,62.9689,5.27053
-0.194382,510.292,30,13.0954,61.9282,5.61791
-0.0154507,554.862,30,14.3376,67.7217,5.66052
-3.37158,552.04,30,12.5182,60.4902,4.93829
-0.849547,515.479,30,12.8982,61.2637,5.46617
-2.81089,543.778,30,12.6056,60.6771,5.04855
-2.34858,542.086,30,12.7959,61.3983,5.14237
-1.33101,586.694,30,14.4088,68.661,5.35875
-3.16545,592.891,30,13.5541,65.4023,4.97839
-4.6209,520.277,30,11.2291,54.7361,4.70564
0.184126,574.721,30,14.9651,70.5919,5.70865
0.950709,588.01,30,15.7675,74.0009,5.89974
-4.69832,520.966,30,11.2094,54.6699,4.69178
-1.83456,541.955,30,13.052,62.4081,5.24993
-4.49601,555.549,30,12.05,58.6861,4.72813
-3.78299,536.451,30,11.969,58.0015,4.85975
-2.92976,567.909,30,13.1037,63.1267,5.02486
-4.98984,527.591,30,11.2211,54.8391,4.64016
-4.80815,564.828,30,12.1002,59.0601,4.67223
0.597878,553.838,30,14.652,68.926,5.81054
0.593633,587.558,30,15.5416,73.1127,5.80948
-2.3877,529.704,30,12.4845,59.9203,5.13433
-0.511411,503.53,30,12.7649,60.4932,5.54367
-2.71977,584.455,30,13.597,65.4086,5.06683
-0.659608,598.3,30,15.0809,71.5395,5.50949
-2.84768,590.291,30,13.6641,65.789,5.0412
